# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
125.0 125.0 125.0 125.0 125.0 125.0 25.0 25.0 25.0 25.0 25.0 25.0 0.6 0.3 0.4 0.3 0.7 0.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
150.0 150.0 150.0 150.0 150.0 150.0 25.0 25.0 25.0 25.0 25.0 25.0 0.6 0.2 0.5 0.3 0.7 0.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
175.0 175.0 175.0 175.0 175.0 175.0 25.0 25.0 25.0 25.0 25.0 25.0 0.4 0.3 0.5 0.3 0.7 0.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
200.0 200.0 200.0 200.0 200.0 200.0 25.0 25.0 25.0 25.0 25.0 25.0 0.3 0.3 0.4 0.3 0.6 0.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
225.0 225.0 225.0 225.0 225.0 225.0 25.0 25.0 25.0 25.0 25.0 25.0 0.4 0.4 0.5 0.3 0.4 0.5 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
250.0 250.0 250.0 250.0 250.0 250.0 25.0 25.0 25.0 25.0 25.0 25.0 0.5 0.3 0.5 0.3 0.6 0.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
275.0 275.0 275.0 275.0 275.0 275.0 25.0 25.0 25.0 25.0 25.0 25.0 0.6 0.3 0.4 0.3 0.6 0.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
300.0 300.0 300.0 300.0 300.0 300.0 25.0 25.0 25.0 25.0 25.0 25.0 0.3 0.4 0.5 0.3 0.5 0.5 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
5.0 5.0 5.0 5.0 5.0 5.0 35.0 35.0 35.0 35.0 35.0 35.0 1.5 0.3 0.3 0.3 0.6 0.2 1.59e-01 1.67e-01 1.67e-01 1.67e-01 1.65e-01 1.68e-01
10.0 10.0 10.0 10.0 10.0 10.0 35.0 35.0 35.0 35.0 35.0 35.0 1.6 0.2 0.3 0.3 0.8 0.2 8.86e-02 9.32e-02 9.26e-02 9.27e-02 9.05e-02 9.30e-02
15.0 15.0 15.0 15.0 15.0 15.0 35.0 35.0 35.0 35.0 35.0 35.0 1.2 0.1 0.3 0.3 1.0 0.2 6.16e-02 1.00e+00 6.35e-02 6.35e-02 6.19e-02 1.00e+00
20.0 20.0 20.0 20.0 20.0 20.0 35.0 35.0 35.0 35.0 35.0 35.0 0.8 0.1 0.2 0.3 0.9 0.2 4.74e-02 1.00e+00 1.00e+00 1.00e+00 4.71e-02 1.00e+00
25.0 25.0 25.0 25.0 25.0 25.0 35.0 35.0 35.0 35.0 35.0 35.0 0.7 0.1 0.3 0.2 0.8 0.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 0.8 0.2 0.3 0.2 0.9 0.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
45.0 45.0 45.0 45.0 45.0 45.0 35.0 35.0 35.0 35.0 35.0 35.0 0.7 0.3 0.3 0.3 0.9 0.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
55.0 55.0 55.0 55.0 55.0 55.0 35.0 35.0 35.0 35.0 35.0 35.0 0.7 0.2 0.4 0.2 0.7 0.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
65.0 65.0 65.0 65.0 65.0 65.0 35.0 35.0 35.0 35.0 35.0 35.0 0.7 0.3 0.3 0.2 0.9 0.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
75.0 75.0 75.0 75.0 75.0 75.0 35.0 35.0 35.0 35.0 35.0 35.0 0.6 0.2 0.5 0.3 0.7 0.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
85.0 85.0 85.0 85.0 85.0 85.0 35.0 35.0 35.0 35.0 35.0 35.0 0.5 0.3 0.5 0.3 0.5 0.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
95.0 95.0 95.0 95.0 95.0 95.0 35.0 35.0 35.0 35.0 35.0 35.0 0.4 0.3 0.4 0.4 0.7 0.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
105.0 105.0 105.0 105.0 105.0 105.0 35.0 35.0 35.0 35.0 35.0 35.0 0.5 0.3 0.3 0.3 0.7 0.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
115.0 115.0 115.0 115.0 115.0 115.0 35.0 35.0 35.0 35.0 35.0 35.0 0.4 0.2 0.3 0.3 0.8 0.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
125.0 125.0 125.0 125.0 125.0 125.0 35.0 35.0 35.0 35.0 35.0 35.0 0.3 0.2 0.3 0.4 0.8 0.8 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
150.0 150.0 150.0 150.0 150.0 150.0 35.0 35.0 35.0 35.0 35.0 35.0 0.6 0.2 0.3 0.4 0.7 0.5 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
175.0 175.0 175.0 175.0 175.0 175.0 35.0 35.0 35.0 35.0 35.0 35.0 0.4 0.2 0.4 0.4 0.6 0.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
200.0 200.0 200.0 200.0 200.0 200.0 35.0 35.0 35.0 35.0 35.0 35.0 0.4 0.4 0.5 0.3 0.5 0.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
225.0 225.0 225.0 225.0 225.0 225.0 35.0 35.0 35.0 35.0 35.0 35.0 0.6 0.4 0.4 0.3 0.5 0.5 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
250.0 250.0 250.0 250.0 250.0 250.0 35.0 35.0 35.0 35.0 35.0 35.0 0.5 0.4 0.4 0.3 0.4 0.5 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
275.0 275.0 275.0 275.0 275.0 275.0 35.0 35.0 35.0 35.0 35.0 35.0 0.4 0.4 0.4 0.3 0.4 0.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
300.0 300.0 300.0 300.0 300.0 300.0 35.0 35.0 35.0 35.0 35.0 35.0 0.5 0.5 0.4 0.3 0.4 0.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
5.0 5.0 5.0 5.0 5.0 5.0 45.0 45.0 45.0 45.0 45.0 45.0 0.2 0.8 0.4 0.2 0.2 0.1 1.68e-01 1.63e-01 1.66e-01 1.68e-01 1.68e-01 1.69e-01
10.0 10.0 10.0 10.0 10.0 10.0 45.0 45.0 45.0 45.0 45.0 45.0 0.3 0.8 0.6 0.2 0.3 0.2 9.23e-02 9.06e-02 9.12e-02 9.30e-02 9.27e-02 9.28e-02
15.0 15.0 15.0 15.0 15.0 15.0 45.0 45.0 45.0 45.0 45.0 45.0 0.4 0.7 0.6 0.2 0.7 0.5 6.31e-02 6.25e-02 6.26e-02 1.00e+00 6.25e-02 6.28e-02
20.0 20.0 20.0 20.0 20.0 20.0 45.0 45.0 45.0 45.0 45.0 45.0 0.6 0.4 0.6 0.1 0.3 0.4 4.76e-02 1.00e+00 4.76e-02 1.00e+00 1.00e+00 1.00e+00
25.0 25.0 25.0 25.0 25.0 25.0 45.0 45.0 45.0 45.0 45.0 45.0 0.6 0.2 0.4 0.2 0.3 0.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
